name,image_local_path,lat,lng
Hoàng Yến Cuisine - Tôn Dật Tiên,images/restaurant/Hoàng Yến Cuisine - Tôn Dật Tiên/cover.jpg,10.727718092030116, 106.71964851122767
Happy Garden - Nguyễn Văn Luông,images/restaurant/Happy Garden - Nguyễn Văn Luông/cover.jpg,10.743058446113098, 106.63472070937854
Hầm Rượu Lộc Vàng - Bông Sao,images/restaurant/Hầm Rượu Lộc Vàng - Bông Sao/cover.jpg,10.736019651277477, 106.66329228054279
Toshiro BBQ - Đường số 39,images/restaurant/Toshiro BBQ - Đường số 39/cover.jpg,10.744049667680892, 106.71461993821414
Ẩm Thực Quê Nhà – Phạm Ngọc Thạch,images/restaurant/Ẩm Thực Quê Nhà – Phạm Ngọc Thạch/cover.jpg,10.784820851441985, 106.69401453821455
Soul Bến Thành - Thủ Khoa Huân,images/restaurant/Soul Bến Thành - Thủ Khoa Huân/cover.jpg,10.773542441589436, 106.6975368977349
Lẩu Gà Ớt Hiểm 109 - Phạm Ngũ Lão,images/restaurant/Lẩu Gà Ớt Hiểm 109 - Phạm Ngũ Lão/cover.jpg,10.821643578464498, 106.68269375170802
Nhà Hàng Chuyện Ba Bữa - Saigonese Cuisine House - Nguyễn Đình Chiểu,images/restaurant/Nhà Hàng Chuyện Ba Bữa - Saigonese Cuisine House - Nguyễn Đình Chiểu/cover.jpg,10.788410216698635, 106.69901608054337
The Wann - Bùi Thị Xuân,images/restaurant/The Wann - Bùi Thị Xuân/cover.jpg,10.771271043896965, 106.68966607869396
El Barón Whiskey & Cigar Lounge - Hưng Phước 4,images/restaurant/El Barón Whiskey & Cigar Lounge - Hưng Phước 4/cover.jpg,10.729955690770238, 106.70731383068487
Downtown Steakhouse - Hoa Mai,images/restaurant/Downtown Steakhouse - Hoa Mai/cover.jpg,10.797252606239015, 106.68775905355719
Ngọc Sương Sài Gòn - Sương Nguyệt Ánh,images/restaurant/Ngọc Sương Sài Gòn - Sương Nguyệt Ánh/cover.jpg,10.772034524818219, 106.68854623821434
Moon Go - Ẩm Thực Hàn Quốc - Phan Đăng Lưu,images/restaurant/Moon Go - Ẩm Thực Hàn Quốc - Phan Đăng Lưu/cover.jpg,10.799709049163306, 106.68086763821466
Cơm Niêu Thiên Lý - Phan Đăng Lưu,images/restaurant/Cơm Niêu Thiên Lý - Phan Đăng Lưu/cover.jpg,10.80441365556449, 106.68675706705025
Soi Thai - Vinhomes Grand Park,images/restaurant/Soi Thai - Vinhomes Grand Park/cover.jpg,10.845434196205312, 106.8365605958863
Cơm Niêu Thiên Lý - Nguyễn Cơ Thạch,images/restaurant/Cơm Niêu Thiên Lý - Nguyễn Cơ Thạch/cover.jpg,10.770465107254065, 106.72469369588556
Fashionista Café - Fashion & Cuisine - Phùng Khắc Khoan,images/restaurant/Fashionista Café - Fashion & Cuisine - Phùng Khắc Khoan/cover.jpg,10.785659821710997, 106.69718532657069
Hoàng Ty - Mạc Đĩnh Chi,images/restaurant/Hoàng Ty - Mạc Đĩnh Chi/cover.jpg,10.787160078146236, 106.69734884006382
Nhà hàng Đại Dương - Minh Phụng,images/restaurant/Nhà hàng Đại Dương - Minh Phụng/cover.jpg,10.756162597858603, 106.6437778572552
Cơm Niêu Thiên Lý - Hà Đô,images/restaurant/Cơm Niêu Thiên Lý - Hà Đô/cover.jpg,10.77729325857528, 106.67919909029752
DẠ Dining - Nguyễn Thị Minh Khai,images/restaurant/DẠ Dining - Nguyễn Thị Minh Khai/cover.jpg,10.782925916799346, 106.69741373821451
Chill Thai - Hồng Hà,images/restaurant/Chill Thai - Hồng Hà/cover.jpg,10.813999347140063, 106.66975930752999
Nhà hàng Phi Phố Biển - Lê Hồng Phong,images/restaurant/Nhà hàng Phi Phố Biển - Lê Hồng Phong/cover.jpg,10.775222244757146, 106.67189305540604
Nam Phương Lầu - Nguyễn Thị Diệu,images/restaurant/Nam Phương Lầu - Nguyễn Thị Diệu/cover.jpg,10.776664187468043, 106.68948481122816
Mala Panda - Sư Vạn Hạnh - Quận 10,images/restaurant/Mala Panda - Sư Vạn Hạnh - Quận 10/cover.jpg,10.772839204952916, 106.66931580937879
Thai Market - Aeon Mall Bình Tân,images/restaurant/Thai Market - Aeon Mall Bình Tân/cover.jpg,10.742996064557024, 106.61184526520054
Bánh Tráng An Vũ - Thoại Ngọc Hầu,images/restaurant/Bánh Tráng An Vũ - Thoại Ngọc Hầu/cover.jpg,10.784479997604286, 106.639605997735
Phố 79 - Phạm Ngọc Thạch,images/restaurant/Phố 79 - Phạm Ngọc Thạch/cover.jpg,10.781978659747088, 106.69655526889937
Chay Garden Vegetarian Restaurant & Coffee – Võ Văn Tần,images/restaurant/Chay Garden Vegetarian Restaurant & Coffee – Võ Văn Tần/cover.jpg,10.778455359653602, 106.69073664006372
