name,address,image_local_path,lat,lng
Landmark 81 Premier Cloud Residence,"QPVC+F8V Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/Landmark 81 Premier Cloud Residence.jpg,10.793796,106.7219849
The Luxe Nest Riverside - Vinhome Landmark 81,"208 Nguyen Huu Canh, Binh Thanh, Vinhomes Central Park, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Luxe Nest Riverside - Vinhome Landmark 81.jpg,10.793796,106.7219849
Vinhomes Central Park - PHAN DANG Residences,"720A Đường Điện Biên Phủ, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/Vinhomes Central Park - PHAN DANG Residences.jpg,10.79527235,106.72208
The Luxury Lumiere Riverside Suite,"Lumierer Riverside, 259 Võ Nguyên Giáp, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Luxury Lumiere Riverside Suite.jpg,10.80381954,106.7487743
LANDMARK 81 Condotel Garden Bay,"208 Nguyễn Hữu Cảnh, Bình Thạnh, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/LANDMARK 81 Condotel Garden Bay.jpg,10.793796,106.7219849
Lè Métropole Saigon,"Đường R12, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lè Métropole Saigon.jpg,10.77767168,106.7130124
Metropole The Crest Thủ Thiêm Apartment,"The CREST Residence 2, TP. Hồ Chí Minh, Việt Nam",images/hotels/Metropole The Crest Thủ Thiêm Apartment.jpg,10.77767168,106.7130124
Lá Hotel Bình Tân,"184 Đường số 1A , P. Bình Trị Đông B, Q. Bình Tân, Quận Bình Tân, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lá Hotel Bình Tân.jpg,10.74823054,106.6147615
Rosa Boutique Hotel,"196a Bùi Viện, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Rosa Boutique Hotel.jpg,10.76649983,106.6918054
Linh Ngọc Châu Hotel,"138 Đường Số 7 Nối Dài, P. Tân Tạo A, Bình Tân, Quận Bình Tân, TP. Hồ Chí Minh, Việt Nam",images/hotels/Linh Ngọc Châu Hotel.jpg,10.7493749,106.5875095
Hoàng Lê Hotel,"Đ. Số 9/69 Đ. Phạm Hùng, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam",images/hotels/Hoàng Lê Hotel.jpg,10.73465181,106.673979
Khách Sạn An Chi,"45/5 Hồng Hà, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Khách Sạn An Chi.jpg,10.81417635,106.6696457
Thao Trang Laluxe Hotel Phu My Hung,"60-62 Cao Triều Phát, Tân Phong , Phú Mỹ Hưng, Quận 7, Quận 7, TP. Hồ Chí Minh, Việt Nam",images/hotels/Thao Trang Laluxe Hotel Phu My Hung.jpg,10.7322833,106.708024
JapanRoom-1km 2 Bui Vien,"58 Đường Nguyễn Biểu, Quận 5, TP. Hồ Chí Minh, Việt Nam",images/hotels/JapanRoom-1km 2 Bui Vien.jpg,10.75484239,106.6842558
Khách sạn Bằng Lăng Tím,"309 Hoà Hảo, TP. Hồ Chí Minh, Việt Nam",images/hotels/Khách sạn Bằng Lăng Tím.jpg,10.76198583,106.6692962
Sunrise City - SP Home Quận 7,"25 Đường Nguyễn Hữu Thọ, Quận 7, TP. Hồ Chí Minh, Việt Nam",images/hotels/Sunrise City - SP Home Quận 7.jpg,10.74069378,106.7006683
Khách sạn Thy Thảo 3,"227-229 Nguyễn Tiểu La, TP. Hồ Chí Minh, Việt Nam",images/hotels/Khách sạn Thy Thảo 3.jpg,10.76467061,106.6660591
Ailen Garden 2 Hotel,"283/8 Pham Ngu Lao, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Ailen Garden 2 Hotel.jpg,10.76751762,106.6909059
Signature by M Village Lê Thánh Tôn,"24 Đường Lê Thánh Tôn, phường Bến Nghé, Quận 1, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Signature by M Village Lê Thánh Tôn.jpg,10.78047738,106.7043209
Mia Hotel,"155 Đường Calmette, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Mia Hotel.jpg,10.76934059,106.6981395
Anna Boutique Apartment and Guest House,"37 Nội khu Hưng Phước 2, phường Tân Phong, Quận 7 HCM, Quận 7, TP. Hồ Chí Minh, Việt Nam",images/hotels/Anna Boutique Apartment and Guest House at Dist 7.jpg,10.7316552,106.7070232
Thái An Hotel Hồ Chí Minh,"839/17 Đường Lê Hồng Phong, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/Thái An Hotel Hồ Chí Minh.jpg,10.77295167,106.6709623
KELLY Thao Dien Hotel & Apartment,"12 Đường Số 43, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",images/hotels/KELLY Thao Dien Hotel & Apartment.jpg,10.80658838,106.7300676
Kiba Primestay Duplex Studio,"Hẻm 189 Cống Quỳnh B2, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Kiba Primestay Duplex Studio.jpg,10.76579903,106.6871598
Oakwood Hotel & Apartments Saigon,"330A – 330B Đ. Ung Văn Khiêm, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam",images/hotels/Oakwood Hotel & Apartments Saigon.jpg,10.8034877,106.7224823
Best Studio Room,"240/9A Đường Lê Thánh Tôn, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Best Studio Room Near Ben Thanh Market.jpg,10.77282695,106.6963947
Otis Soho Saigon Balcony Apartment,"C18.01, 100 Cô Giang, Phường Cô Giang, Quận 1, Thành Phố Hồ Chí Minh, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Otis Soho Saigon Balcony Apartment.jpg,10.76388101,106.6946134
Venus Secret Hotel Aeon Bình Tân,"18A Lê Đình Cẩn, Bình Trị Đông A, Quận Bình Tân 90, Quận Bình Tân, TP. Hồ Chí Minh, Việt Nam",images/hotels/Venus Secret Hotel Aeon Bình Tân.jpg,10.75826735,106.6055732
GRAND HOTEL du LAC Boutique Saigon,"40-42 Đường Phan Bội Châu 9, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/GRAND HOTEL du LAC Boutique Saigon.jpg,10.77343149,106.6985952
Cherry Central Hotel- Near Opera House,"8A/8D, 2 Thai Van Lung, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Cherry Central Hotel- Near Opera House.jpg,10.77913042,106.7050114
Jade house Nguyễn Thị Minh Khai,"218/3 Đường Nguyễn Thị Minh Khai, Quận 3, TP. Hồ Chí Minh, Việt Nam",images/hotels/Jade house Nguyễn Thị Minh Khai.jpg,10.77480046,106.6900612
Smile Home - SOHO Apartment balcony - Modern comfortable,"100 Cô giang, Phường Cô Giang, Quận 1 , Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Smile Home - SOHO Apartment balcony - Modern comfo.jpg,10.76298939,106.6946568
ACE Hotel - Bến Thành,"139H Nguyễn Trãi, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/ACE Hotel - Bến Thành.jpg,10.7693051,106.6903649
Remarkable rivergate,"150 Bến Vân Đồn, TP. Hồ Chí Minh, Việt Nam",images/hotels/Remarkable rivergate.jpg,10.76281052,106.6986394
Vuon Tao Dan Hotel,"220 Đường Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",images/hotels/TAO DAN hotel.jpg,10.77456817,106.6900235
Sunrise Riveside Aparment by El House,"Sunrise Riverside, TP. Hồ Chí Minh, Việt Nam",images/hotels/Sunrise Riveside Aparment by El House.jpg,10.7217782,106.7029836
May'S hotel,"22 Nguyễn An Ninh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",images/hotels/MAYS Grand Hotel & Spa - Ben Thanh.jpg,10.7723594,106.6968712
Ancient Luxury Hotel,"47B Đường Nguyễn Trãi Phường Bến Thành, TP. Hồ Chí Minh, Việt Nam",images/hotels/Ancient Luxury Hotel.jpg,10.77070715,106.6924935
Rosa Hotel,"196 Bùi Viện, Ben Thanh Market, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Rosa Hotel - Bùi Viện walking street.jpg,10.76649983,106.6918054
Lan Rung Hotel,"781/A11 Lê Hồng Phong, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Collection O District 10 Near Van Hanh Hospital Fo.jpg,10.77062095,106.6711792
Collection O Sunrise Hotel Trung Sơn,"63 Đ. số 7, Khu dân cư Trung Sơn, Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Collection O Sunrise Hotel Trung Son Near Lotte Ma.jpg,10.73262017,106.6902469
Collection O VyVy Airport Hotel,"283 Hoàng Văn Thụ, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Collection O VyVy Airport Hotel.jpg,10.80049246,106.6625192
Collection O Nam Phuong Hoang Hau,"8 Đường số 7, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Collection O Nam Phuong Hoang Hau Near Lotte Mart.jpg,10.73902023,106.6915178
Townhouse Oak Southern Star Hotel,"41/2 Đường Tân Thới Nhất 1, Quận 12, Thành phố Hồ Chí Minh 700000, Vietnam",images/hotels/Townhouse Oak Southern Star Hotel Quang Trung Indu.jpg,10.83196305,106.6154985
The Passion Lux Airport Hotel Apartment,"3a Đường Cộng Hòa, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Passion Lux Airport Hotel Apartment.jpg,10.80072905,106.6602897
Trung Mai Hotel - Nguyễn Thái Bình,"236/4A Nguyễn Thái Bình, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Trung Mai Hotel - Nguyễn Thái Bình.jpg,10.79663513,106.6514623
Grand Lee Hotel,"137/8 Đường Bình Quới , Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/Grand Lee Hotel.jpg,10.81937626,106.7235886
Hotel Trung Mai-Tân Bình,"15 Trương Hoàng Thanh 15, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Hotel Trung Mai-Tân Bình.jpg,10.79643325,106.6512847
Kadupul Hotel,"212 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Thành Phố Hồ Chí Minh, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam",images/hotels/Kadupul Hotel.jpg,10.82048433,106.6835697
Cao Gia Hải,"78 Lê Đức Thọ, Phường 7, Quận Gò Vấp, TP.HCM, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam",images/hotels/Cao Gia Hải.jpg,10.83296452,106.6825794
Van Ha Boutique Hotel Etown - Nhà Ga T3,"440A Đường Cộng Hòa, TP. Hồ Chí Minh, Việt Nam",images/hotels/Van Ha Boutique Hotel Etown - Nhà Ga T3.jpg,10.80272238,106.6427099
Cactusland Hotel Tan Binh,"35 Bình Giã, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Cactusland Hotel Tan Binh Near T3 Station.jpg,10.80086472,106.6447244
Ari Boutique Hotel,"16-18 Đường Số 5, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam",images/hotels/Ari Boutique Hotel.jpg,10.82867092,106.681848
Trang An Hotel,"627 Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Trang An Hotel - 10 minutes Landmark 81.jpg,10.81138388,106.7137474
Lumia Hotel,"8 Đường Số 55-TML 5, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lumia Hotel.jpg,10.78009926,106.7541469
Love Luxury Hotel Vườn Lài,"398/1/16 Vườn Lài, Quận 12, TP. Hồ Chí Minh, Việt Nam",images/hotels/Love Luxury Hotel Vườn Lài.jpg,10.83521856,106.6961748
Rù Rì Homestay,"55/16 Trường Sơn, phường 2, Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Rù Rì Homestay.jpg,10.81133738,106.6643821
Soul Station - Studio Hotel,"78 Đường Trần Quốc Tuấn, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam",images/hotels/Soul Station - Studio Hotel.jpg,10.82102577,106.6914858
Milan 1 Hotel,"Đường số 4, TP. Hồ Chí Minh, Việt Nam",images/hotels/Milan 1 Hotel.jpg,10.73921562,106.6909148
Nouveau Happy Inn - Bến Thành,"39 Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Nouveau Happy Inn - Bến Thành.jpg,10.77147813,106.6898895
Tra My Hotel - SaiGon Center,"41 Lý Chính Thắng, Quận 3, TP. Hồ Chí Minh, Việt Nam",images/hotels/Tra My Hotel - SaiGon Center.jpg,10.79051644,106.6866511
Townhouse,"Số 252/43-45 Cao Thắng, Phường 12, Quận 10, TP.HCM, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/Townhouse District 10 Near Children Hospital 1 For.jpg,10.77524804,106.6760534
Collection O District 10 - Bonita Grand Hotel,"185 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",images/hotels/Collection O District 10 - Bonita Grand Hotel.jpg,10.78011976,106.6683529
Lucky Star Hotel,"60/3 Đường Nguyễn Trãi, phường 3, Quận 5, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lucky Star Hotel Nguyen Trai Q5.jpg,10.75851351,106.6800788
Fortune 1127 - Central Hotel,"1127 Trần Hưng Đạo, Phường 5, Quận 5, TP. Hồ Chí Minh, Việt Nam",images/hotels/Fortune 1127 - Central Hotel.jpg,10.75314012,106.6731963
K&T Hotel- Apartment SaiGon Center,"304 Đường Trần Hưng Đạo 30, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/K&T Hotel- Apartment SaiGon Center.jpg,10.75746794,106.6857841
Lucky Star Hotel Q5,"60/3 Nguyễn Trãi, Phường 3, Quận 5, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lucky Star Hotel Q5.jpg,10.75853459,106.680111
AHA Residence Hotel,"284 Điện Biên Phủ, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/AHA Residence Hotel.jpg,10.79942622,106.7067962
Kim Dung Hotel Tran Quang Khai,"184 Trần Quang Khải, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Kim Dung Hotel Tran Quang Khai.jpg,10.79174889,106.6896934
S79 My My Hotel 2,"449/46 Đường Sư Vạn Hạnh, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/S79 My My Hotel 2.jpg,10.7727696,106.6682162
S79 Vuon Saigon Hotel & SPA,"781/D1 Lê Hồng Phong, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/S79 Vuon Saigon Hotel & SPA.jpg,10.77292624,106.671502
S79 My My Hotel,"391/40 Đường Sư Vạn Hạnh, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/S79 My My Hotel.jpg,10.77215011,106.669599
Belvilla,"252/43-45 Cao Thang, Phuong 12, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/Belvilla Near Van Hanh Mall Formerly Cuong Thanh 3.jpg,10.77547392,106.6762098
Lynn by La Doma Express,"43c Kỳ Đồng, Quận 3, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lynn by La Doma Express.jpg,10.78087566,106.6815124
Haven Hut Hotel,"176 Cô Giang, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Haven Hut Hotel.jpg,10.76200565,106.6934155
La Rose Sai Gon Hotel,"137 Đường Đề Thám, phường Cầu Ông Lãnh, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/La Rose Sai Gon Hotel.jpg,10.76544563,106.6947249
S79 Happy Hotel 1 Saigon,"7 Đường Lý Thái Tổ, Quận 10, TP. Hồ Chí Minh, Việt Nam",images/hotels/S79 Happy Hotel 1 Saigon.jpg,10.7665995,106.6774052
Northern Charm Hotel,"12 Đường Lí Tự Trọng, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Northern Charm Hotel.jpg,10.78222408,106.7046754
Nicecy Hotel - Trương Quyền,"64 Đường Trương Quyền, Quận 3, TP. Hồ Chí Minh, Việt Nam",images/hotels/Nicecy Hotel - Trương Quyền.jpg,10.7872809,106.6920751
MQ Apartment,"137/111a Trần Đình Xu, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/MQ Apartment District 1.jpg,10.7610513,106.6870343
Four P Apartment Binh Thanh,"17/10 Mê Linh, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/Four P Apartment Binh Thanh.jpg,10.78900701,106.7091347
Cherry Hotel and Apartment,"406/14 Cộng Hoà, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Cherry Hotel and Apartment.jpg,10.80280884,106.6439075
The Passion Hotel Airport,"60/24 Yên Thế, Phường 2, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Passion Hotel Airport - 5 minutes to Tan Son N.jpg,10.81180379,106.6691757
The Blue Airport Hotel,"2/37 Phan Thúc Duyện Phường 4, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Blue Airport Hotel.jpg,10.804739,106.6632832
Hoa De Nhat Hotel - Sân Bay Tân Sơn Nhất,"4/1/9 - 4/1/11 Hoàng Việt, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Hoa De Nhat Hotel- Sân Bay Tân Sơn Nhất.jpg,10.79671514,106.6591661
Ngọ house,"132 Ngô Thị Thu Minh, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Ngọ house.jpg,10.79827479,106.6624327
