segment_id,time_window,avg_vehicles,std_vehicles,min_vehicles,max_vehicles,sample_count,avg_cars,avg_motorcycles,avg_buses,avg_trucks,segment_name,lat,lon,hour,day_of_week,is_weekend,is_rush_hour
SEG_0015,2025-12-17 23:30:00,11.636363636363637,3.8019133938775425,7,16,11,6.7272727272727275,4.0,0.2727272727272727,0.6363636363636364,,10.780816857142856,106.69537385714284,23,2,0,0
SEG_0015,2025-12-17 23:45:00,12.0,3.9370039370059056,7,16,5,6.4,4.8,0.2,0.6,,10.780816857142856,106.69537385714284,23,2,0,0
SEG_0015,2025-12-18 00:30:00,0.6666666666666666,0.5773502691896258,0,1,3,0.6666666666666666,0.0,0.0,0.0,,10.780816857142856,106.69537385714284,0,3,0,0
SEG_0015,2025-12-18 00:45:00,1.6666666666666667,2.0816659994661326,0,4,3,1.0,0.6666666666666666,0.0,0.0,,10.780816857142856,106.69537385714284,0,3,0,0
SEG_0015,2025-12-18 01:00:00,1.6,3.0495901363953815,0,7,5,1.0,0.6,0.0,0.0,,10.780816857142856,106.69537385714284,1,3,0,0
SEG_0015,2025-12-18 07:30:00,12.466666666666667,4.470005859163093,7,21,15,3.533333333333333,8.4,0.06666666666666667,0.4666666666666667,,10.780816857142856,106.69537385714284,7,3,0,1
SEG_0016,2025-12-18 00:45:00,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,,10.794442,106.677617,0,3,0,0
SEG_0017,2025-12-18 00:45:00,5.666666666666667,9.814954576223638,0,17,3,2.0,3.0,0.3333333333333333,0.3333333333333333,,10.804656,106.668644,0,3,0,0
SEG_0018,2025-12-18 00:45:00,3.0,3.605551275463989,0,7,3,1.3333333333333333,1.6666666666666667,0.0,0.0,,10.80858,106.67115,0,3,0,0
SEG_0019,2025-12-17 23:45:00,3.0,0.0,3,3,2,1.0,2.0,0.0,0.0,,10.836691,106.636086,23,2,0,0
SEG_0019,2025-12-18 00:45:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.836691,106.636086,0,3,0,0
SEG_0019,2025-12-18 01:00:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.836691,106.636086,1,3,0,0
SEG_0020,2025-12-17 23:30:00,18.2,5.06951674225463,12,26,5,5.4,12.0,0.4,0.4,,10.811001,106.7126754,23,2,0,0
SEG_0020,2025-12-17 23:45:00,18.2,5.06951674225463,12,26,5,5.4,12.0,0.4,0.4,,10.811001,106.7126754,23,2,0,0
SEG_0020,2025-12-18 01:00:00,3.4,2.073644135332772,2,7,5,2.2,1.0,0.0,0.2,,10.811001,106.7126754,1,3,0,0
SEG_0020,2025-12-18 07:30:00,19.133333333333333,5.276181880687514,6,29,15,5.4,12.2,0.8666666666666667,0.6666666666666666,,10.811001,106.7126754,7,3,0,1
SEG_0021,2025-12-17 23:30:00,21.0,4.242640687119285,18,24,2,7.5,10.0,2.5,1.0,,10.817187,106.712168,23,2,0,0
SEG_0021,2025-12-17 23:45:00,21.0,4.242640687119285,18,24,2,7.5,10.0,2.5,1.0,,10.817187,106.712168,23,2,0,0
SEG_0021,2025-12-18 01:00:00,4.5,0.7071067811865476,4,5,2,3.5,0.0,0.0,1.0,,10.817187,106.712168,1,3,0,0
SEG_0021,2025-12-18 07:30:00,22.5,5.205766033928148,14,28,6,6.833333333333333,13.833333333333334,0.6666666666666666,1.1666666666666667,,10.817187,106.712168,7,3,0,1
SEG_0022,2025-12-18 01:00:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.753629,106.684156,1,3,0,0
SEG_0023,2025-12-18 07:30:00,22.0,,22,22,1,6.0,12.0,2.0,2.0,,10.802034,106.708803,7,3,0,1
SEG_0024,2025-12-18 01:00:00,9.5,2.1213203435596424,8,11,2,7.5,1.5,0.0,0.5,,10.7557525,106.683414,1,3,0,0
SEG_0025,2025-12-17 23:45:00,32.0,0.0,32,32,2,7.0,19.0,1.0,5.0,,10.794966,106.652912,23,2,0,0
SEG_0025,2025-12-18 00:45:00,4.0,,4,4,1,4.0,0.0,0.0,0.0,,10.794966,106.652912,0,3,0,0
SEG_0025,2025-12-18 01:00:00,10.0,,10,10,1,4.0,5.0,1.0,0.0,,10.794966,106.652912,1,3,0,0
SEG_0026,2025-12-17 23:45:00,17.0,10.743768958264667,0,26,8,3.0,12.5,0.25,1.25,,10.76703825,106.67600975,23,2,0,0
SEG_0026,2025-12-18 00:30:00,2.0,1.8516401995451028,0,4,8,1.25,0.375,0.25,0.125,,10.76703825,106.67600975,0,3,0,0
SEG_0026,2025-12-18 00:45:00,2.25,2.6299556396765835,0,6,4,1.0,1.25,0.0,0.0,,10.76703825,106.67600975,0,3,0,0
SEG_0026,2025-12-18 01:00:00,2.5,3.0,0,6,4,1.0,1.25,0.0,0.25,,10.76703825,106.67600975,1,3,0,0
SEG_0026,2025-12-18 07:30:00,17.75,11.954775893619532,0,26,4,4.0,12.25,0.25,1.25,,10.76703825,106.67600975,7,3,0,1
SEG_0027,2025-12-18 00:45:00,10.5,9.00555384193554,1,23,6,2.1666666666666665,7.833333333333333,0.0,0.5,,10.777867,106.681375,0,3,0,0
SEG_0028,2025-12-18 07:30:00,13.0,,13,13,1,2.0,10.0,0.0,1.0,,10.79859,106.704997,7,3,0,1
SEG_0029,2025-12-18 00:45:00,6.333333333333333,7.767453465154029,0,15,3,0.6666666666666666,5.666666666666667,0.0,0.0,,10.779529,106.68213,0,3,0,0
SEG_0030,2025-12-18 00:45:00,4.0,6.928203230275509,0,12,3,1.6666666666666667,2.3333333333333335,0.0,0.0,,10.782496,106.683633,0,3,0,0
